sum_1,sum_2,norm,scan
4703.0,9332.0,0.25483,-25025000.0
4733.0,9369.0,0.25812,-25024750.0
4747.0,9341.0,0.26153,-25024500.0
4727.0,9321.0,0.25915,-25024250.0
4750.0,9335.0,0.26227,-25024000.0
4727.0,9313.0,0.25949,-25023750.0
4724.0,9346.0,0.25763,-25023500.0
4744.0,9302.0,0.2627,-25023250.0
4770.0,9366.0,0.26417,-25023000.0
4745.0,9369.0,0.26004,-25022750.0
4749.0,9348.0,0.26156,-25022500.0
4746.0,9371.0,0.26012,-25022250.0
4749.0,9378.0,0.26031,-25022000.0
4752.0,9354.0,0.26179,-25021750.0
4721.0,9406.0,0.25469,-25021500.0
4745.0,9403.0,0.25863,-25021250.0
4747.0,9400.0,0.25908,-25021000.0
4712.0,9383.0,0.25419,-25020750.0
4733.0,9387.0,0.25738,-25020500.0
4709.0,9384.0,0.25367,-25020250.0
4720.0,9375.0,0.2558,-25020000.0
4683.0,9415.0,0.24829,-25019750.0
4657.0,9382.0,0.24545,-25019500.0
4658.0,9390.0,0.2453,-25019250.0
4609.0,9381.0,0.23782,-25019000.0
4624.0,9391.0,0.23983,-25018750.0
4618.0,9401.0,0.2385,-25018500.0
4612.0,9400.0,0.23758,-25018250.0
4577.0,9394.0,0.23223,-25018000.0
4594.0,9394.0,0.23494,-25017750.0
4573.0,9415.0,0.23082,-25017500.0
4566.0,9416.0,0.22967,-25017250.0
4514.0,9458.0,0.21994,-25017000.0
4544.0,9421.0,0.226,-25016750.0
4513.0,9424.0,0.22097,-25016500.0
4497.0,9471.0,0.21682,-25016250.0
4500.0,9449.0,0.21804,-25016000.0
4496.0,9474.0,0.21656,-25015750.0
4469.0,9449.0,0.21315,-25015500.0
4469.0,9508.0,0.21118,-25015250.0
4472.0,9487.0,0.21234,-25015000.0
4448.0,9477.0,0.2089,-25014750.0
4462.0,9464.0,0.21154,-25014500.0
4439.0,9527.0,0.20587,-25014250.0
4407.0,9476.0,0.20249,-25014000.0
4424.0,9496.0,0.20452,-25013750.0
4402.0,9453.0,0.20243,-25013500.0
4412.0,9462.0,0.20372,-25013250.0
4402.0,9494.0,0.20113,-25013000.0
4448.0,9521.0,0.20747,-25012750.0
4422.0,9465.0,0.2052,-25012500.0
4450.0,9493.0,0.20869,-25012250.0
4424.0,9519.0,0.20378,-25012000.0
4427.0,9494.0,0.20505,-25011750.0
4416.0,9449.0,0.20477,-25011500.0
4426.0,9479.0,0.20538,-25011250.0
4422.0,9436.0,0.20614,-25011000.0
4462.0,9487.0,0.21077,-25010750.0
4475.0,9432.0,0.21467,-25010500.0
4477.0,9467.0,0.2138,-25010250.0
4479.0,9434.0,0.21524,-25010000.0
4516.0,9425.0,0.22141,-25009750.0
4512.0,9449.0,0.21994,-25009500.0
4554.0,9448.0,0.22661,-25009250.0
4540.0,9433.0,0.22493,-25009000.0
4568.0,9506.0,0.22675,-25008750.0
4573.0,9508.0,0.22746,-25008500.0
4583.0,9505.0,0.22913,-25008250.0
4614.0,9518.0,0.23351,-25008000.0
4651.0,9513.0,0.23948,-25007750.0
4637.0,9448.0,0.23973,-25007500.0
4671.0,9477.0,0.24398,-25007250.0
4690.0,9482.0,0.24678,-25007000.0
4704.0,9481.0,0.24902,-25006750.0
4694.0,9456.0,0.24842,-25006500.0
4697.0,9492.0,0.24749,-25006250.0
4743.0,9492.0,0.25471,-25006000.0
4710.0,9491.0,0.24957,-25005750.0
4761.0,9536.0,0.25577,-25005500.0
4756.0,9513.0,0.2559,-25005250.0
4762.0,9499.0,0.25741,-25005000.0
4798.0,9523.0,0.26206,-25004750.0
4795.0,9562.0,0.26001,-25004500.0
4778.0,9519.0,0.2591,-25004250.0
4810.0,9533.0,0.26353,-25004000.0
4825.0,9546.0,0.26533,-25003750.0
4820.0,9536.0,0.26496,-25003500.0
4843.0,9592.0,0.26622,-25003250.0
4815.0,9552.0,0.26353,-25003000.0
4837.0,9564.0,0.26645,-25002750.0
4831.0,9594.0,0.26429,-25002500.0
4830.0,9546.0,0.26611,-25002250.0
4822.0,9518.0,0.26602,-25002000.0
4816.0,9529.0,0.26463,-25001750.0
4803.0,9584.0,0.26037,-25001500.0
4787.0,9489.0,0.26174,-25001250.0
4784.0,9496.0,0.26098,-25001000.0
4754.0,9463.0,0.25761,-25000750.0
4750.0,9480.0,0.25629,-25000500.0
4740.0,9443.0,0.25621,-25000250.0
4723.0,9436.0,0.2538,-25000000.0
4722.0,9470.0,0.25228,-24999750.0
4716.0,9471.0,0.2513,-24999500.0
4697.0,9459.0,0.24878,-24999250.0
4683.0,9473.0,0.24603,-24999000.0
4643.0,9439.0,0.24102,-24998750.0
4653.0,9423.0,0.24322,-24998500.0
4632.0,9391.0,0.24111,-24998250.0
4586.0,9412.0,0.23299,-24998000.0
4578.0,9366.0,0.23343,-24997750.0
4576.0,9386.0,0.23237,-24997500.0
4537.0,9377.0,0.22647,-24997250.0
4536.0,9407.0,0.22523,-24997000.0
4517.0,9365.0,0.2237,-24996750.0
4531.0,9380.0,0.2254,-24996500.0
4483.0,9377.0,0.21784,-24996250.0
4484.0,9377.0,0.218,-24996000.0
4482.0,9390.0,0.21722,-24995750.0
4487.0,9380.0,0.21837,-24995500.0
4469.0,9356.0,0.21632,-24995250.0
4457.0,9389.0,0.21327,-24995000.0
4428.0,9380.0,0.20895,-24994750.0
4425.0,9394.0,0.208,-24994500.0
4420.0,9350.0,0.20867,-24994250.0
4427.0,9375.0,0.20895,-24994000.0
4413.0,9358.0,0.20728,-24993750.0
4390.0,9338.0,0.20425,-24993500.0
4383.0,9366.0,0.20221,-24993250.0
4399.0,9370.0,0.20464,-24993000.0
4388.0,9383.0,0.20246,-24992750.0
4402.0,9389.0,0.2045,-24992500.0
4425.0,9329.0,0.21018,-24992250.0
4402.0,9405.0,0.20398,-24992000.0
4400.0,9387.0,0.20424,-24991750.0
4412.0,9370.0,0.20672,-24991500.0
4433.0,9392.0,0.20934,-24991250.0
4404.0,9391.0,0.20475,-24991000.0
4407.0,9421.0,0.20425,-24990750.0
4443.0,9392.0,0.21094,-24990500.0
4431.0,9412.0,0.20836,-24990250.0
4460.0,9374.0,0.21426,-24990000.0
4470.0,9395.0,0.21514,-24989750.0
4463.0,9328.0,0.21633,-24989500.0
4476.0,9375.0,0.21679,-24989250.0
4490.0,9335.0,0.22043,-24989000.0
4524.0,9343.0,0.22561,-24988750.0
4509.0,9349.0,0.22299,-24988500.0
4562.0,9366.0,0.23087,-24988250.0
4570.0,9400.0,0.23089,-24988000.0
4594.0,9428.0,0.23367,-24987750.0
4582.0,9396.0,0.23295,-24987500.0
4629.0,9387.0,0.24079,-24987250.0
4597.0,9383.0,0.23583,-24987000.0
4631.0,9348.0,0.24261,-24986750.0
4639.0,9400.0,0.24188,-24986500.0
4640.0,9370.0,0.2432,-24986250.0
4659.0,9361.0,0.2466,-24986000.0
4648.0,9338.0,0.24574,-24985750.0
4676.0,9361.0,0.24932,-24985500.0
4730.0,9457.0,0.25406,-24985250.0
4709.0,9388.0,0.25351,-24985000.0
4744.0,9433.0,0.25725,-24984750.0
4745.0,9403.0,0.25863,-24984500.0
4774.0,9406.0,0.26312,-24984250.0
4743.0,9415.0,0.25782,-24984000.0
4740.0,9394.0,0.25821,-24983750.0
4762.0,9430.0,0.26022,-24983500.0
4763.0,9393.0,0.26192,-24983250.0
4774.0,9435.0,0.26192,-24983000.0
4777.0,9421.0,0.26297,-24982750.0
4769.0,9431.0,0.26129,-24982500.0
4778.0,9437.0,0.26247,-24982250.0
4759.0,9425.0,0.25995,-24982000.0
4792.0,9406.0,0.26599,-24981750.0
4775.0,9420.0,0.2627,-24981500.0
4761.0,9393.0,0.2616,-24981250.0
4759.0,9430.0,0.25975,-24981000.0
4745.0,9403.0,0.25863,-24980750.0
4745.0,9411.0,0.25831,-24980500.0
4749.0,9419.0,0.25861,-24980250.0
4724.0,9414.0,0.25485,-24980000.0
4684.0,9399.0,0.24908,-24979750.0
4722.0,9396.0,0.25526,-24979500.0
4644.0,9398.0,0.24275,-24979250.0
4653.0,9366.0,0.24544,-24979000.0
4638.0,9338.0,0.24413,-24978750.0
4667.0,9394.0,0.24657,-24978500.0
4634.0,9355.0,0.24282,-24978250.0
4605.0,9347.0,0.23848,-24978000.0
4595.0,9393.0,0.23513,-24977750.0
4560.0,9373.0,0.23029,-24977500.0
4572.0,9324.0,0.23404,-24977250.0
4543.0,9355.0,0.22823,-24977000.0
4509.0,9311.0,0.22436,-24976750.0
4501.0,9327.0,0.22249,-24976500.0
4495.0,9339.0,0.2211,-24976250.0
4456.0,9315.0,0.21566,-24976000.0
4450.0,9303.0,0.21511,-24975750.0
4468.0,9307.0,0.21788,-24975500.0
4465.0,9296.0,0.21778,-24975250.0
4456.0,9294.0,0.21639,-24975000.0
4733.0,9339.0,0.25937,-25025000.0
