sum_1,sum_2,norm,scan
3002.0,9165.0,0.02097,6835010000.0
3018.0,9156.0,0.02354,6835012000.0
3025.0,9139.0,0.02472,6835014000.0
3022.0,9115.0,0.02434,6835016000.0
3002.0,9078.0,0.02126,6835018000.0
3028.0,9139.0,0.0252,6835020000.0
3017.0,9122.0,0.02351,6835022000.0
3015.0,9096.0,0.02329,6835024000.0
3031.0,9113.0,0.02579,6835026000.0
3036.0,9131.0,0.02651,6835028000.0
3026.0,9122.0,0.02495,6835030000.0
3027.0,9115.0,0.02514,6835032000.0
3042.0,9124.0,0.0275,6835034000.0
3037.0,9059.0,0.02698,6835036000.0
3034.0,9089.0,0.02637,6835038000.0
3041.0,9059.0,0.02763,6835040000.0
3060.0,9103.0,0.03048,6835042000.0
3058.0,9093.0,0.03021,6835044000.0
3056.0,9139.0,0.02967,6835046000.0
3067.0,9113.0,0.03156,6835048000.0
3067.0,9126.0,0.03149,6835050000.0
3064.0,9132.0,0.03098,6835052000.0
3068.0,9086.0,0.03185,6835054000.0
3080.0,9099.0,0.03371,6835056000.0
3096.0,9135.0,0.03607,6835058000.0
3080.0,9087.0,0.03378,6835060000.0
3096.0,9079.0,0.0364,6835062000.0
3105.0,9128.0,0.03755,6835064000.0
3098.0,9108.0,0.03655,6835066000.0
3121.0,9116.0,0.04019,6835068000.0
3121.0,9131.0,0.04009,6835070000.0
3145.0,9106.0,0.0441,6835072000.0
3145.0,9112.0,0.04406,6835074000.0
3153.0,9101.0,0.04542,6835076000.0
3164.0,9141.0,0.04688,6835078000.0
3152.0,9114.0,0.04516,6835080000.0
3199.0,9076.0,0.05301,6835082000.0
3176.0,9129.0,0.04889,6835084000.0
3219.0,9160.0,0.05548,6835086000.0
3207.0,9132.0,0.05382,6835088000.0
3216.0,9132.0,0.05525,6835090000.0
3206.0,9062.0,0.05426,6835092000.0
3218.0,9171.0,0.05523,6835094000.0
3236.0,9156.0,0.05822,6835096000.0
3259.0,9169.0,0.06176,6835098000.0
3273.0,9188.0,0.06379,6835100000.0
3268.0,9131.0,0.06357,6835102000.0
3264.0,9181.0,0.06243,6835104000.0
3278.0,9136.0,0.06511,6835106000.0
3297.0,9145.0,0.06805,6835108000.0
3320.0,9179.0,0.07133,6835110000.0
3295.0,9177.0,0.06739,6835112000.0
3294.0,9155.0,0.06746,6835114000.0
3319.0,9147.0,0.07153,6835116000.0
3330.0,9206.0,0.0726,6835118000.0
3324.0,9188.0,0.07186,6835120000.0
3356.0,9216.0,0.07658,6835122000.0
3365.0,9220.0,0.07795,6835124000.0
3367.0,9216.0,0.07832,6835126000.0
3374.0,9169.0,0.08001,6835128000.0
3373.0,9196.0,0.07951,6835130000.0
3375.0,9203.0,0.07974,6835132000.0
3377.0,9169.0,0.08049,6835134000.0
3386.0,9194.0,0.08159,6835136000.0
3383.0,9244.0,0.08048,6835138000.0
3390.0,9227.0,0.0818,6835140000.0
3414.0,9224.0,0.08562,6835142000.0
3388.0,9248.0,0.08122,6835144000.0
3400.0,9237.0,0.08324,6835146000.0
3398.0,9232.0,0.08299,6835148000.0
3434.0,9267.0,0.08817,6835150000.0
3391.0,9238.0,0.08182,6835152000.0
3410.0,9266.0,0.08443,6835154000.0
3420.0,9277.0,0.08584,6835156000.0
3426.0,9259.0,0.08702,6835158000.0
3430.0,9267.0,0.08754,6835160000.0
3429.0,9288.0,0.0871,6835162000.0
3390.0,9309.0,0.08076,6835164000.0
3414.0,9311.0,0.08446,6835166000.0
3406.0,9295.0,0.08342,6835168000.0
3407.0,9305.0,0.08345,6835170000.0
3412.0,9287.0,0.08446,6835172000.0
3426.0,9281.0,0.08673,6835174000.0
3409.0,9303.0,0.08379,6835176000.0
3416.0,9290.0,0.08505,6835178000.0
3403.0,9302.0,0.08287,6835180000.0
3388.0,9216.0,0.08163,6835182000.0
3400.0,9254.0,0.08302,6835184000.0
3379.0,9240.0,0.07991,6835186000.0
3384.0,9255.0,0.0805,6835188000.0
3377.0,9207.0,0.08001,6835190000.0
3361.0,9260.0,0.07684,6835192000.0
3354.0,9205.0,0.0764,6835194000.0
3352.0,9223.0,0.07587,6835196000.0
3340.0,9268.0,0.07346,6835198000.0
3334.0,9214.0,0.07314,6835200000.0
3340.0,9253.0,0.07363,6835202000.0
3323.0,9238.0,0.07114,6835204000.0
3312.0,9227.0,0.06953,6835206000.0
3301.0,9288.0,0.06715,6835208000.0
3311.0,9257.0,0.06905,6835210000.0
3299.0,9212.0,0.06764,6835212000.0
3291.0,9235.0,0.06614,6835214000.0
3277.0,9234.0,0.06395,6835216000.0
3266.0,9266.0,0.06191,6835218000.0
3268.0,9291.0,0.06198,6835220000.0
3244.0,9210.0,0.05899,6835222000.0
3247.0,9191.0,0.05964,6835224000.0
3243.0,9250.0,0.05846,6835226000.0
3220.0,9264.0,0.05474,6835228000.0
3236.0,9257.0,0.0573,6835230000.0
3209.0,9266.0,0.053,6835232000.0
3197.0,9274.0,0.05106,6835234000.0
3189.0,9262.0,0.04991,6835236000.0
3193.0,9284.0,0.05036,6835238000.0
3170.0,9261.0,0.04694,6835240000.0
3160.0,9283.0,0.04522,6835242000.0
3165.0,9234.0,0.04635,6835244000.0
3135.0,9259.0,0.04148,6835246000.0
3137.0,9257.0,0.0418,6835248000.0
3126.0,9233.0,0.04023,6835250000.0
3112.0,9238.0,0.038,6835252000.0
3142.0,9258.0,0.04258,6835254000.0
3124.0,9283.0,0.03961,6835256000.0
3106.0,9249.0,0.037,6835258000.0
3110.0,9250.0,0.03762,6835260000.0
3115.0,9247.0,0.03842,6835262000.0
3110.0,9228.0,0.03775,6835264000.0
3078.0,9237.0,0.03267,6835266000.0
3096.0,9229.0,0.03554,6835268000.0
3084.0,9238.0,0.03361,6835270000.0
3061.0,9220.0,0.03008,6835272000.0
3063.0,9179.0,0.03059,6835274000.0
3064.0,9185.0,0.03072,6835276000.0
3047.0,9219.0,0.02788,6835278000.0
3050.0,9233.0,0.02829,6835280000.0
3025.0,9163.0,0.02463,6835282000.0
3032.0,9177.0,0.02569,6835284000.0
3025.0,9187.0,0.02454,6835286000.0
3036.0,9168.0,0.02636,6835288000.0
3013.0,9197.0,0.0226,6835290000.0
3038.0,9205.0,0.02652,6835292000.0
3013.0,9187.0,0.02264,6835294000.0
3007.0,9176.0,0.02173,6835296000.0
3009.0,9189.0,0.022,6835298000.0
2993.0,9178.0,0.0195,6835300000.0
2994.0,9186.0,0.01963,6835302000.0
2995.0,9193.0,0.01977,6835304000.0
2993.0,9179.0,0.0195,6835306000.0
2994.0,9196.0,0.0196,6835308000.0
2995.0,9181.0,0.01981,6835310000.0
2999.0,9142.0,0.02057,6835312000.0
2993.0,9169.0,0.01953,6835314000.0
3000.0,9183.0,0.02059,6835316000.0
2985.0,9191.0,0.01819,6835318000.0
2998.0,9202.0,0.02021,6835320000.0
2988.0,9179.0,0.0187,6835322000.0
2991.0,9114.0,0.01938,6835324000.0
2994.0,9133.0,0.0198,6835326000.0
2976.0,9164.0,0.01684,6835328000.0
2983.0,9166.0,0.01795,6835330000.0
2978.0,9124.0,0.01727,6835332000.0
2970.0,9151.0,0.01592,6835334000.0
2977.0,9119.0,0.01712,6835336000.0
2981.0,9109.0,0.01779,6835338000.0
2979.0,9151.0,0.01735,6835340000.0
2989.0,9150.0,0.01895,6835342000.0
2977.0,9151.0,0.01704,6835344000.0
2975.0,9168.0,0.01667,6835346000.0
2982.0,9191.0,0.01772,6835348000.0
2989.0,9169.0,0.01889,6835350000.0
2975.0,9222.0,0.01653,6835352000.0
2989.0,9172.0,0.01888,6835354000.0
2977.0,9195.0,0.01692,6835356000.0
2975.0,9186.0,0.01662,6835358000.0
2988.0,9210.0,0.01861,6835360000.0
2973.0,9194.0,0.01629,6835362000.0
2982.0,9173.0,0.01777,6835364000.0
2977.0,9169.0,0.01699,6835366000.0
2980.0,9176.0,0.01744,6835368000.0
2969.0,9188.0,0.01567,6835370000.0
2987.0,9193.0,0.0185,6835372000.0
2994.0,9215.0,0.01954,6835374000.0
3008.0,9201.0,0.0218,6835376000.0
2977.0,9221.0,0.01685,6835378000.0
2977.0,9209.0,0.01688,6835380000.0
2992.0,9189.0,0.01931,6835382000.0
2985.0,9215.0,0.01812,6835384000.0
2989.0,9223.0,0.01873,6835386000.0
2988.0,9230.0,0.01855,6835388000.0
2989.0,9221.0,0.01874,6835390000.0
2980.0,9218.0,0.01733,6835392000.0
2973.0,9209.0,0.01625,6835394000.0
2992.0,9214.0,0.01923,6835396000.0
2973.0,9266.0,0.0161,6835398000.0
2972.0,9250.0,0.01599,6835400000.0
2983.0,9210.0,0.01782,6835402000.0
2969.0,9215.0,0.0156,6835404000.0
2985.0,9226.0,0.01809,6835406000.0
2979.0,9208.0,0.0172,6835408000.0
2984.0,9211.0,0.01798,6835410000.0
3020.0,9228.0,0.02359,6835010000.0
3031.0,9201.0,0.02543,6835012000.0
3027.0,9187.0,0.02485,6835014000.0
3021.0,9200.0,0.02385,6835016000.0
3024.0,9198.0,0.02434,6835018000.0
3029.0,9178.0,0.02521,6835020000.0
3037.0,9192.0,0.02642,6835022000.0
3043.0,9167.0,0.02747,6835024000.0
3027.0,9213.0,0.02475,6835026000.0
3049.0,9215.0,0.02821,6835028000.0
3043.0,9155.0,0.02753,6835030000.0
3044.0,9236.0,0.02733,6835032000.0
3045.0,9239.0,0.02748,6835034000.0
3068.0,9198.0,0.03129,6835036000.0
3058.0,9202.0,0.02969,6835038000.0
3065.0,9214.0,0.03074,6835040000.0
3076.0,9188.0,0.03261,6835042000.0
3074.0,9219.0,0.03213,6835044000.0
3074.0,9184.0,0.03231,6835046000.0
3092.0,9218.0,0.03497,6835048000.0
3091.0,9217.0,0.03482,6835050000.0
3092.0,9253.0,0.03478,6835052000.0
3098.0,9206.0,0.03598,6835054000.0
3096.0,9207.0,0.03566,6835056000.0
3115.0,9227.0,0.03854,6835058000.0
3112.0,9209.0,0.03818,6835060000.0
3119.0,9198.0,0.03935,6835062000.0
3124.0,9221.0,0.03999,6835064000.0
3135.0,9241.0,0.04159,6835066000.0
3143.0,9204.0,0.0431,6835068000.0
3117.0,9177.0,0.03916,6835070000.0
3143.0,9176.0,0.04329,6835072000.0
3167.0,9185.0,0.04703,6835074000.0
3168.0,9179.0,0.04723,6835076000.0
3179.0,9160.0,0.04913,6835078000.0
3192.0,9142.0,0.05134,6835080000.0
3192.0,9156.0,0.05122,6835082000.0
3194.0,9183.0,0.05132,6835084000.0
3221.0,9116.0,0.0562,6835086000.0
3217.0,9124.0,0.05548,6835088000.0
3231.0,9195.0,0.05708,6835090000.0
3254.0,9169.0,0.06096,6835092000.0
3236.0,9203.0,0.05779,6835094000.0
3249.0,9193.0,0.05994,6835096000.0
3248.0,9167.0,0.06003,6835098000.0
3264.0,9166.0,0.06258,6835100000.0
3264.0,9155.0,0.06269,6835102000.0
3267.0,9162.0,0.0631,6835104000.0
3276.0,9149.0,0.06466,6835106000.0
3288.0,9156.0,0.0665,6835108000.0
3301.0,9163.0,0.06849,6835110000.0
3305.0,9201.0,0.06871,6835112000.0
3313.0,9188.0,0.07012,6835114000.0
3300.0,9157.0,0.0684,6835116000.0
3330.0,9153.0,0.07321,6835118000.0
3326.0,9188.0,0.07217,6835120000.0
3330.0,9179.0,0.07291,6835122000.0
3342.0,9204.0,0.07452,6835124000.0
3346.0,9177.0,0.07547,6835126000.0
3361.0,9164.0,0.07801,6835128000.0
3369.0,9165.0,0.07927,6835130000.0
3363.0,9138.0,0.07865,6835132000.0
3398.0,9188.0,0.08357,6835134000.0
3379.0,9221.0,0.08014,6835136000.0
3397.0,9177.0,0.08356,6835138000.0
3387.0,9183.0,0.08189,6835140000.0
3385.0,9190.0,0.08149,6835142000.0
3397.0,9167.0,0.08369,6835144000.0
3385.0,9208.0,0.08126,6835146000.0
3405.0,9120.0,0.0856,6835148000.0
3386.0,9091.0,0.08294,6835150000.0
3400.0,9108.0,0.08496,6835152000.0
3382.0,9089.0,0.08233,6835154000.0
3388.0,9084.0,0.08336,6835156000.0
3396.0,9004.0,0.08575,6835158000.0
3397.0,9030.0,0.08555,6835160000.0
3382.0,9036.0,0.08304,6835162000.0
3379.0,9085.0,0.0819,6835164000.0
3387.0,8992.0,0.08445,6835166000.0
3379.0,9033.0,0.08259,6835168000.0
3398.0,9013.0,0.08595,6835170000.0
3388.0,9066.0,0.0836,6835172000.0
3376.0,9017.0,0.08232,6835174000.0
3368.0,9001.0,0.08123,6835176000.0
3376.0,9063.0,0.08171,6835178000.0
